Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
WW Hinds (WI),2006-2010,5,5,1,30,14,7.50,41,73.17,0,0,1,3,0
LC Le Tissier (GUE),2019-2019,9,7,2,30,9,6.00,29,103.44,0,0,0,2,0
Mian Mehmood (PORT),2019-2019,4,4,0,29,13,7.25,41,70.73,0,0,1,1,1
SH Obed (VAN),2019-2019,12,7,2,29,9,5.80,41,70.73,0,0,0,1,0
S Rossi (Arg),2019-2019,5,4,1,29,13,9.66,27,107.4,0,0,0,2,1
J Salazar (Peru),2019-2019,2,2,1,29,20*,29.00,36,80.55,0,0,0,0,0
Taskin Ahmed (BDESH),2014-2018,19,6,3,29,15*,9.66,31,93.54,0,0,1,3,1
DT Tiripano (ZIM),2016-2019,10,6,2,29,14,7.25,34,85.29,0,0,2,0,2
C Zavoiu (ROM),2019-2019,3,2,0,29,27,14.50,39,74.35,0,0,0,3,0
Ahsan Malik (NL),2012-2017,31,8,5,28,11*,9.33,30,93.33,0,0,1,1,1
KK Ahuja (Mex),2019-2019,8,7,0,28,8,4.00,50,56.0,0,0,1,1,1
Amjad Khan (UAE),2015-2016,4,3,0,28,24,9.33,30,93.33,0,0,0,3,1
EJB Miles (JER),2019-2019,14,4,2,28,16,14.00,31,90.32,0,0,0,1,0
A Nehra (INDIA),2009-2017,27,5,0,28,22,5.60,39,71.79,0,0,3,1,2
PJ Ongondo (KENYA),2007-2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2
CW Perchard (JER),2019-2019,15,5,2,28,12,9.33,35,80.0,0,0,0,0,0
R Pillai (GER),2019-2019,6,5,1,28,14,7.00,44,63.63,0,0,1,1,0
Sharafuddin Ashraf (AFG),2015-2019,8,4,1,28,18,9.33,29,96.55,0,0,0,1,1
Ahmed Wardak (GER),2019-2019,9,4,2,27,20*,13.50,38,71.05,0,0,0,1,0
TP Allen (USA),2019-2019,5,3,1,27,11*,13.50,17,158.82,0,0,0,0,3
G Bakiweyem (Ghana),2019-2019,3,2,1,27,15*,27.00,30,90.0,0,0,0,0,0
TC Barker (LUX),2019-2019,4,4,0,27,18,6.75,33,81.81,0,0,0,1,0
NE Bonner (WI),2011-2012,2,2,0,27,24,13.50,38,71.05,0,0,0,2,0
DT Christian (AUS),2010-2017,16,7,3,27,9,6.75,28,96.42,0,0,1,2,0
RM Dorji (BHU),2019-2019,1,1,0,27,27,27.00,23,117.39,0,0,0,0,4
H Fennell (Arg),2019-2019,5,5,2,27,25*,9.00,23,117.39,0,0,3,4,1
S Hongsi (THAI),2019-2019,3,3,3,27,11*,-,16,168.75,0,0,0,3,1
Mohammad Iqbal (CAN),2008-2008,3,3,0,27,22,9.00,39,69.23,0,0,0,1,0
Nadif Chowdhury (BDESH),2006-2007,3,3,0,27,12,9.00,23,117.39,0,0,0,2,0
SS Pathirana (SL),2016-2017,5,5,0,27,14,5.40,24,112.5,0,0,0,3,0
Shapoor Zadran (AFG),2010-2018,34,13,6,27,13,3.85,65,41.53,0,0,3,0,3
Shoaib Qureshi (Fin),2019-2019,5,4,0,27,12,6.75,34,79.41,0,0,1,2,0
MP Vaughan (ENG),2005-2007,2,2,0,27,27,13.50,22,122.72,0,0,1,4,0
Waqas Ali (Belg),2019-2019,2,2,0,27,14,13.50,31,87.09,0,0,0,0,2
Zulfiqar Babar (PAK),2013-2014,7,3,3,27,13*,-,27,100.0,0,0,0,2,1
Arsalan Arif (Aut),2019-2019,2,1,1,26,26*,-,11,236.36,0,0,0,5,0
TB de Bruyn (SA),2017-2017,2,2,0,26,19,13.00,16,162.5,0,0,0,3,1
D Ganga (WI),2006-2006,1,1,0,26,26,26.00,31,83.87,0,0,0,3,1
R Goodwin (PHI),2019-2019,4,4,1,26,16*,8.66,36,72.22,0,0,1,1,0
Izatullah Dawlatzai (AFG/GER),2012-2019,14,3,2,26,24*,26.00,16,162.5,0,0,0,2,2
G Kansonkho (MWI),2019-2019,6,3,1,26,22,13.00,21,123.8,0,0,1,4,0
TJ Murtagh (IRE),2012-2016,14,5,3,26,12*,13.00,25,104.0,0,0,0,0,1
LN Oluoch (KENYA),2013-2019,10,6,3,26,7*,8.66,33,78.78,0,0,0,2,0
E Otieno (KENYA),2012-2019,18,8,3,26,8,5.20,48,54.16,0,0,1,0,1
TK Saha (Fin),2019-2019,4,4,3,26,18*,26.00,23,113.04,0,0,0,1,0
Washington Sundar (INDIA),2017-2019,18,5,3,26,14*,13.00,12,216.66,0,0,1,1,3
C Wright (Caym),2019-2019,6,5,2,26,16*,8.66,31,83.87,0,0,1,2,0
P Agnihotri (NOR),2019-2019,2,2,0,25,19,12.50,36,69.44,0,0,0,2,0
Asrar Ahmed (),2019-2019,3,1,0,25,25,25.00,27,92.59,0,0,0,2,0
RA Bhatti (CAN),2012-2012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0
AM Ellis (NZ),2012-2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1
CRD Fernando (SL),2006-2016,18,7,2,25,21,5.00,27,92.59,0,0,2,4,0
G Goudie (SCOT),2010-2013,9,6,2,25,9*,6.25,20,125.0,0,0,0,2,1
T Jamtsho (BHU),2019-2019,2,2,1,25,19,25.00,27,92.59,0,0,0,1,1
JH Kiani (PHI),2019-2019,4,3,1,25,13,12.50,36,69.44,0,0,0,2,0
RK Kleinveldt (SA),2008-2013,6,3,2,25,22,25.00,10,250.0,0,0,0,1,3
WP Masakadza (ZIM),2015-2019,12,6,3,25,6*,8.33,30,83.33,0,0,0,2,0
G Murali (CRC),2019-2019,3,3,0,25,14,8.33,44,56.81,0,0,0,1,0
PM Nevill (AUS),2016-2016,9,5,4,25,10*,25.00,11,227.27,0,0,0,1,2
SA Okpe (NGA),2019-2019,8,6,1,25,12,5.00,46,54.34,0,0,0,1,0
C Pengkumta (THAI),2019-2019,4,3,2,25,18,25.00,31,80.64,0,0,0,2,0
Raza-ur-Rehman (CAN),2012-2013,5,4,0,25,10,6.25,29,86.2,0,0,0,3,0
Shahbaz Badar (BAH),2019-2019,3,3,0,25,16,8.33,32,78.12,0,0,1,3,0
Shahriar Nafees (BDESH),2006-2006,1,1,0,25,25,25.00,17,147.05,0,0,0,3,1
Sidhant Singh (SGP),2019-2019,8,6,2,25,12,6.25,26,96.15,0,0,1,1,1
A Srivastav (Chile),2019-2019,4,4,0,25,21,6.25,37,67.56,0,0,2,2,0
Tahir Dar (BAH),2019-2019,4,2,0,25,15,12.50,25,100.0,0,0,0,1,2
Vinod Kumar (ESP),2019-2019,3,3,1,25,17,12.50,30,83.33,0,0,0,3,0
Adil Hanif (BAH),2019-2019,4,2,0,24,16,12.00,23,104.34,0,0,0,3,0
Azyan Farhath (Mald),2019-2019,2,2,1,24,22*,24.00,22,109.09,0,0,0,2,0
MO Bacarese (GIBR),2019-2019,3,2,0,24,13,12.00,37,64.86,0,0,0,0,1
OO Bascome (BMUDA),2008-2019,3,3,0,24,16,8.00,29,82.75,0,0,0,3,0
Bilal Tahir (KUW),2019-2019,4,4,0,24,13,6.00,21,114.28,0,0,1,1,1
JW Dernbach (ENG),2011-2014,34,7,2,24,12,4.80,21,114.28,0,0,1,3,0
Fareed Ahmad (AFG),2016-2019,14,1,1,24,24*,-,15,160.0,0,0,0,4,0
JN Gillespie (AUS),2005-2005,1,1,0,24,24,24.00,18,133.33,0,0,0,4,0
B Ivanov (),2019-2019,3,3,1,24,14,12.00,55,43.63,0,0,0,1,0
Jagjit Singh (Peru),2019-2019,4,4,0,24,12,6.00,30,80.0,0,0,0,1,0
MJ McClenaghan (ICC/NZ),2012-2018,29,8,4,24,10,6.00,23,104.34,0,0,2,1,2
Rameez Raja (2) (PAK),2011-2011,2,2,0,24,23,12.00,29,82.75,0,0,0,2,0
B Regmi (NEPAL),2014-2019,18,11,4,24,11,3.42,56,42.85,0,0,1,2,0
CP Schofield (ENG),2007-2007,4,4,3,24,9*,24.00,20,120.0,0,0,0,2,0
KJ Abbott (SA),2013-2016,21,6,4,23,9*,11.50,20,115.0,0,0,0,2,0
AB Barath (WI),2010-2011,2,2,0,23,15,11.50,39,58.97,0,0,0,3,0
Bilawal Bhatti (PAK),2013-2015,9,4,2,23,13*,11.50,14,164.28,0,0,1,2,1
DL Brangman (BMUDA),2019-2019,5,4,2,23,23*,11.50,25,92.0,0,0,2,2,1
C Floyd (NL),2019-2019,2,2,1,23,21,23.00,23,100.0,0,0,0,2,1
Habib Ahmadzai (Aut),2019-2019,5,3,2,23,15*,23.00,29,79.31,0,0,0,2,1
Hardev Singh (Chile),2019-2019,3,3,0,23,17,7.66,48,47.91,0,0,0,1,0
Imran Anwar (BAH),2019-2019,4,2,1,23,16*,23.00,22,104.54,0,0,0,2,0
RK Inampud (Mex),2019-2019,3,3,2,23,17*,23.00,28,82.14,0,0,0,0,1
B Kumar (INDIA),2012-2019,43,9,5,23,9,5.75,29,79.31,0,0,1,0,0
S Lamichhane (ICC/NEPAL),2018-2019,18,8,4,23,9,5.75,29,79.31,0,0,1,1,0
N Master (Botsw),2019-2019,2,2,0,23,21,11.50,18,127.77,0,0,0,4,0
T Panyangara (ZIM),2013-2016,14,5,4,23,17*,23.00,17,135.29,0,0,0,1,2
VM Sachdev (PNM),2019-2019,2,2,1,23,12*,23.00,31,74.19,0,0,0,2,0
Shafiul Islam (BDESH),2010-2019,17,6,1,23,16,4.60,33,69.69,0,0,1,1,1
